text,value
New York,LOC
Google,ORG
John Doe,PER
Los Angeles,LOC
Microsoft,ORG
Jane Smith,PER
Chicago,LOC
Amazon,ORG
Alice Johnson,PER
Houston,LOC
Facebook,ORG
Bob Brown,PER
Phoenix,LOC
Twitter,ORG
Charlie Davis,PER
Philadelphia,LOC
LinkedIn,ORG
David Wilson,PER
San Antonio,LOC
Apple,ORG
Eve Miller,PER
San Diego,LOC
IBM,ORG
Frank Moore,PER
Dallas,LOC
Intel,ORG
Grace Taylor,PER
San Jose,LOC
Oracle,ORG
Hank Anderson,PER
Austin,LOC
Cisco,ORG
Ivy Thomas,PER
Jacksonville,LOC
SAP,ORG
Jack Lee,PER
Fort Worth,LOC
Salesforce,ORG
Karen Harris,PER
Columbus,LOC
Adobe,ORG
Leo Martin,PER
Charlotte,LOC
Uber,ORG
Mia Clark,PER
San Francisco,LOC
Airbnb,ORG
Nina Lewis,PER
Indianapolis,LOC
Netflix,ORG
Oscar Young,PER
Seattle,LOC
Spotify,ORG
Paul Walker,PER
Denver,LOC
Dropbox,ORG
Quinn Hall,PER
Washington,LOC
Twitter,ORG
Rachel Allen,PER
Boston,LOC
Facebook,ORG
Steve King,PER
El Paso,LOC
Amazon,ORG
Tina Scott,PER
Detroit,LOC
Microsoft,ORG
Uma Green,PER
Nashville,LOC
Google,ORG
Victor Adams,PER
Portland,LOC
Apple,ORG
Wendy Baker,PER
Memphis,LOC
IBM,ORG
Xavier Gonzalez,PER
Oklahoma City,LOC
Oracle,ORG
Yvonne Nelson,PER
Las Vegas,LOC
Cisco,ORG
Zachary Carter,PER
